"list_name","name_choice","label_choice","name_new","country"
"3_3_3_2_6","trees_rows","Trees are arranged in straight rows",NA,"global"
"3_3_3_2_6","trees_scattered","Trees are scattered around the plot",NA,"global"
"3_3_3_2_6","trees_cluster","Trees are clustered mainly or entirely in one part of the plot",NA,"global"
"3_3_3_3","Fodder_shrubs","Fodder shrubs",NA,"global"
"3_3_3_3","Pasture_rehabilitation","Pasture rehabilitation",NA,"global"
"3_3_3_3","No_manure_management","No manure management",NA,"global"
"3_3_3_3","Exclosures","Exclosures",NA,"global"
"3_3_3_3","Pasture_fertilization","Pasture fertilization",NA,"global"
"3_3_3_3","Biogas_production","Biogas production",NA,"global"
"3_3_3_3","Silvopastoralism","Silvopastoralism",NA,"global"
"3_3_3_3","Overgrazing","Overgrazing",NA,"global"
"3_3_3_3","Producing_feed_legumes","Producing feed legumes",NA,"global"
"3_3_3_3","Reducing_grazing_presure","Reducing grazing presure",NA,"global"
"3_3_3_3","Keeping_improve_breeds","Keeping improve breeds",NA,"global"
"3_3_3_3","Manure_collection","Manure collection",NA,"global"
"3_3_3_3","Improve_manure_storage","Improve manure storage",NA,"global"
"3_3_3_3","Composting","Composting",NA,"global"
"3_3_3_3","Inclosures","Inclosures",NA,"global"
"3_3_3_3","none","None",NA,"global"
"3_3_3_3","other","Other (please specify)",NA,"global"
"3_3_3_4","1","Agro-aquaculture: Combining fish farming with crop cultivation",NA,"global"
"3_3_3_4","2","Aquaponics: Integrating fish farming with hydroponic plant cultivation)",NA,"global"
"3_3_3_4","3","Eco-friendly pond designs",NA,"global"
"3_3_3_4","4","Efficient water management",NA,"global"
"3_3_3_4","5","Improved feed formulation",NA,"global"
"3_3_3_4","6","Integrated fish-poultry farming: Fish and poultry coexist in the same system",NA,"global"
"3_3_3_4","7","Livestock-fish farming",NA,"global"
"3_3_3_4","8","Selective breeding for climate resilience",NA,"global"
"3_3_3_4","none","None",NA,"global"
"3_3_3_4","other","Other (Please specify)",NA,"global"
"3_3_4_1","1","Yes",NA,"global"
"3_3_4_1","0","No",NA,"global"
"3_3_4_1_1","2","Drip",NA,"global"
"3_3_4_1_1","3","Flood",NA,"global"
"3_3_4_1_1","4","Hose-pipe",NA,"global"
"3_3_4_1_1","5","Ridges",NA,"global"
"3_3_4_1_1","6","Sprinkler",NA,"global"
"3_3_4_1_1","7","Watering can or bucket",NA,"global"
"3_3_4_1_1","other","Other (please specify)",NA,"global"
"3_3_4_1_2","1","Dam/lake",NA,"global"
"3_3_4_1_2","2","Groundwater",NA,"global"
"3_3_4_1_2","3","Piped regional water",NA,"global"
"3_3_4_1_2","4","Rainwater harvesting",NA,"global"
"3_3_4_1_2","5","Rivers",NA,"global"
"3_3_4_1_2","6","Wetland",NA,"global"
"3_3_4_1_2","other","Other (please specify)",NA,"global"
"3_3_4_2","1","On-farm rainwater storage of runoff from roofs or similar",NA,"global"
"3_3_4_2","2","On-farm dams or ponds designed to capture rainwater",NA,"global"
"3_3_4_2","3","On-farm floodwater storage when watercourses (e.g., rivers, streams, canals) overflow",NA,"global"
"3_3_4_2","none","None",NA,"global"
"3_3_4_2","other","Other (please specify)",NA,"global"
"3_3_4_3","0","None",NA,"global"
"3_3_4_3","1","Jan",NA,"global"
"3_3_4_3","2","Feb",NA,"global"
"3_3_4_3","3","Mar",NA,"global"
"3_3_4_3","4","Apr",NA,"global"
"3_3_4_3","5","May",NA,"global"
"3_3_4_3","6","Jun",NA,"global"
"3_3_4_3","7","Jul",NA,"global"
"3_3_4_3","8","Aug",NA,"global"
"3_3_4_3","9","Sep",NA,"global"
"3_3_4_3","10","Oct",NA,"global"
"3_3_4_3","11","Nov",NA,"global"
"3_3_4_3","12","Dec",NA,"global"
"3_3_4_4","1","Check dams",NA,"global"
"3_4_1_1_7_1","1","${_3_4_1_1_1_1_calculate_2}",NA,"global"
"3_4_1_1_7_1","2","${_3_4_1_1_2_1_calculate_2}",NA,"global"
"3_4_1_1_7_1","3","${_3_4_1_1_3_1_calculate_2}",NA,"global"
"3_4_1_1_7_1","4","${_3_4_1_1_4_1_calculate_2}",NA,"global"
"3_4_1_1_7_1","5","${_3_4_1_1_5_1_calculate_2}",NA,"global"
"3_4_1_1_7_1","6","${_3_4_1_1_6_1_calculate_2}",NA,"global"
"3_4_1_1_7_1_1","1","1",NA,"global"
"3_4_1_1_7_1_1","2","2",NA,"global"
"3_4_1_1_7_1_1","3","3",NA,"global"
"3_4_1_1_7_1_1","4","4",NA,"global"
"3_4_1_1_7_1_3","Land_preparation","Land preparation",NA,"global"
"3_4_1_1_7_1_3","Planting","Planting",NA,"global"
"3_4_1_1_7_1_3","Weeding","Weeding",NA,"global"
"3_4_1_1_7_1_3","Ridging,_fertilizing,_other_non-harvested_activities","Ridging, fertilizing, other non-harvested activities",NA,"global"
"3_4_1_1_7_1_3","Harvesting","Harvesting",NA,"global"
"3_4_1_1_7_1_3","Supervision","Supervision",NA,"global"
"3_4_1_1_7_1_3","Shelling/Threshing/Peeling","Shelling/Threshing/Peeling",NA,"global"
"3_4_1_1_7_1_3","Sorting","Sorting",NA,"global"
"3_4_1_1_7_1_3","Drying","Drying",NA,"global"
"3_4_1_1_7_1_3","Cleaning","Cleaning",NA,"global"
"3_4_1_1_7_1_3","Processing_(milling,_grinding,_grating,_etc)","Processing (milling, grinding, grating, etc)",NA,"global"
"3_4_1_1_7_1_3","Protection_from_losses","Protection from losses",NA,"global"
"3_4_1_1_7_1_3","other","Other activity (Please specify)",NA,"global"
"3_4_1_1_7_1_4","Animal_feeding","Animal feeding",NA,"global"
"3_4_1_1_7_1_4","Health_care_and_veterinary_services","Health care and veterinary services",NA,"global"
"3_4_1_1_7_1_4","Pasture_management","Pasture management",NA,"global"
"3_4_1_1_7_1_4","Herd_management","Herd management",NA,"global"
"3_4_1_1_7_1_4","Milking_and_dairy_management","Milking and dairy management",NA,"global"
"3_4_1_1_7_1_4","Waste_management","Waste management",NA,"global"
"3_4_1_1_7_1_4","Wool_management","Wool management",NA,"global"
"3_4_1_1_7_1_4","Management_of_housing_and_shelter_(e.g.,_cleaning,_repairs)","Management of housing and shelter (e.g., cleaning, repairs)",NA,"global"
"3_4_1_1_7_1_4","Egg_collection","Egg collection",NA,"global"
"3_4_1_1_7_1_4","Marketing","Marketing and sales",NA,"global"
"3_4_1_1_7_1_4","other","Other activity (Please specify)",NA,"global"
"3_4_1_1_7_1_5","Site_preparation_(e.g.,_prepare_ponds,_tanks,_or_cages_accordingly)","Site preparation (e.g., prepare ponds, tanks, or cages accordingly)",NA,"global"
"3_4_1_1_7_1_5","Stocking","Stocking",NA,"global"
"3_4_1_1_7_1_5","Feeding_and_nutrition","Feeding and nutrition",NA,"global"
"3_4_1_1_7_1_5","Water_quality_management","Water quality management",NA,"global"
"3_4_1_1_7_1_5","Disease_prevention_and_health_management","Disease prevention and health management",NA,"global"
"3_4_1_1_7_1_5","Harvesting","Harvesting",NA,"global"
"3_4_1_1_7_1_5","Filleting_and_processing","Filleting and processing",NA,"global"
"3_4_1_1_7_1_5","Record_keeping","Record keeping",NA,"global"
"3_4_1_1_7_1_5","Marketing_and_sales","Marketing and sales",NA,"global"
"3_4_1_1_7_1_5","other","Other activity (Please specify)",NA,"global"
"3_4_1_1_7_1_6","Soil_preparation","Soil preparation",NA,"global"
"3_4_1_1_7_1_6","Seedling_production_or_sourcing","Seedling production or sourcing",NA,"global"
"3_4_1_1_7_1_6","Planting_and_transplanting","Planting and transplanting",NA,"global"
"3_4_1_1_7_1_6","Irrigation_and_water_management","Irrigation and water management",NA,"global"
"3_4_1_1_7_1_6","Fertilization_and_nutrient_management","Fertilization and nutrient management",NA,"global"
"3_4_1_1_7_1_6","Pruning_and_training","Pruning and training",NA,"global"
"3_4_1_1_7_1_6","Pest_and_disease_management","Pest and disease management",NA,"global"
"3_4_1_1_7_1_6","Weed_control","Weed control",NA,"global"
"3_4_1_1_7_1_6","Market_and_sales","Market and sales",NA,"global"
"3_4_1_1_7_1_6","other","Other activity (Please specify)",NA,"global"
"3_4_1_1_7_1_7","Hive_management","Hive management",NA,"global"
"3_4_1_1_7_1_7","Bee_colony_management","Bee colony management",NA,"global"
"3_4_1_1_7_1_7","Bee_health_management","Bee health management",NA,"global"
"3_4_1_1_7_1_7","Honey_extraction:","Honey extraction",NA,"global"
"3_4_1_1_7_1_7","Honey_processing","Honey processing",NA,"global"
"3_4_1_1_7_1_7","Packaging_and_labeling","Packaging and labeling",NA,"global"
"3_4_1_1_7_1_7","Marketing_and_sales","Marketing and sales",NA,"global"
"3_4_1_1_7_1_7","other","Other activity (Please specify)",NA,"global"
"3_4_1_1_7_2","1","${_3_4_1_1_1_2_calculate_2}",NA,"global"
"3_4_1_1_7_2","2","${_3_4_1_1_2_2_calculate_2}",NA,"global"
"3_4_1_1_7_2","3","${_3_4_1_1_3_2_calculate_2}",NA,"global"
"3_4_1_1_7_2","4","${_3_4_1_1_4_2_calculate_2}",NA,"global"
"3_4_1_1_7_2","5","${_3_4_1_1_5_2_calculate_2}",NA,"global"
"3_4_1_1_7_2","6","${_3_4_1_1_6_2_calculate_2}",NA,"global"
"3_4_1_2_1","permanent","Yes, I employ permanent labourers (all year-round).",NA,"global"
"3_4_1_2_1","seasonal","Yes, I employ seasonal labourers (only during peak periods).",NA,"global"
"3_4_1_2_1","permanent_and_seasonal","Yes, I employ both permanent and seasonal laboures.",NA,"global"
"3_4_1_2_1","none","No, I don't employ hired/free/exchange labourers.",NA,"global"
"3_4_1_2_1_1","1","Male adults (≥18 and ≤65 years old)",NA,"global"
"3_4_1_2_1_1","2","Female adults (≥18 and ≤65 years old)",NA,"global"
"3_4_1_2_1_1","3","Male or Female adults (>65 years old)",NA,"global"
"3_4_1_2_1_1","4","Male or Female children (<18 years old)",NA,"global"
"3_4_1_2_7_2_2","1","Jan",NA,"global"
"3_4_1_2_7_2_2","2","Feb",NA,"global"
"3_4_1_2_7_2_2","3","Mar",NA,"global"
"3_4_1_2_7_2_2","4","Apr",NA,"global"
"3_4_1_2_7_2_2","5","May",NA,"global"
"3_4_1_2_7_2_2","6","Jun",NA,"global"
"3_4_1_2_7_2_2","7","Jul",NA,"global"
"3_4_1_2_7_2_2","8","Aug",NA,"global"
"3_4_1_2_7_2_2","9","Sep",NA,"global"
"3_4_1_2_7_2_2","10","Oct",NA,"global"
"3_4_1_2_7_2_2","11","Nov",NA,"global"
"3_4_1_2_7_2_2","12","Dec",NA,"global"
"3_4_2_1_5","Kilograms","Kilograms",NA,"global"
"3_4_2_1_5","other","Other (please specify)",NA,"global"
"3_4_2_1_6_1","human_consumption","Home consumption (by people)",NA,"global"
"3_4_2_1_6_1","livestock_consumption","Own livestock consumption (feed)",NA,"global"
"3_4_2_1_6_1","consumer","Sold on-farm direct to consumer",NA,"global"
"3_4_2_1_6_1","cooperative","Sold to a cooperative",NA,"global"
"3_4_2_1_6_1","market_place","Sold in the market place",NA,"global"
"3_4_2_1_6_1","trader_supermarket","Sold to a trader or supermarket",NA,"global"
"3_4_2_1_6_1","gifts","Gifts",NA,"global"
"3_4_2_1_6_1","waste/losses","Wasted/lost",NA,"global"
"3_4_2_1_6_1","other","Other (please specify)",NA,"global"
"3_4_2_2_10","on-farm","On-farm use",NA,"global"
"3_4_2_2_10","direct_to_consumer","On-farm sales direct to consumer",NA,"global"
"3_4_2_2_10","cooperative","Sales to a cooperative",NA,"global"
"3_4_2_2_10","marketplace","Sales in the marketplace",NA,"global"
"3_4_2_2_10","trader_or_supermarket","Sales to a trader or supermarket",NA,"global"
"3_4_2_2_10","Gifts","Gifts",NA,"global"
"3_4_2_2_10","other","Other (please specify)",NA,"global"
"3_4_2_2_2_1","l1","${l1}",NA,"global"
"3_4_2_2_2_1","l2","${l2}",NA,"global"
"3_4_2_2_2_1","l3","${l3}",NA,"global"
"3_4_2_2_2_1","l4","${l4}",NA,"global"
"3_4_2_2_2_1","l5","${l5}",NA,"global"
"3_4_2_2_2_1","l6","${l6}",NA,"global"
"3_4_2_2_2_1","l7","${l7}",NA,"global"
"3_4_2_2_2_1","l8","${l8}",NA,"global"
"3_4_2_2_2_1","l9","${l9}",NA,"global"
"3_4_2_2_2_1","l10","${l10}",NA,"global"
"3_4_2_2_5","Meat_production_1","Meat production",NA,"global"
"3_4_2_2_5","Dairy_production_1","Dairy production",NA,"global"
"3_4_2_2_5","Livestock_breeding_1","Livestock breeding production",NA,"global"
"3_4_2_2_5","Manure_production_1","Manure production",NA,"global"
"3_4_2_2_5","Transportation_1","Transportation",NA,"global"
"3_4_2_2_5","Draft_power_1","Draft power",NA,"global"
"3_4_2_2_5","other_1","Other (please specify)",NA,"global"
"3_4_2_2_5","Meat_production_2","Meat production",NA,"global"
"3_4_2_2_5","Dairy_production_2","Dairy production",NA,"global"
"3_4_2_2_5","Fibre_production_2","Fibre production",NA,"global"
"3_4_2_2_5","Livestock_breeding_2","Livestock breeding production",NA,"global"
"3_4_2_2_5","Manure_production_2","Manure production",NA,"global"
"3_4_2_2_5","other_2","Other (please specify)",NA,"global"
"3_4_2_2_5","Meat_production_3","Meat production",NA,"global"
"3_4_2_2_5","Eggs_production_3","Eggs production",NA,"global"
"3_4_2_2_5","Livestock_breeding_3","Livestock breeding production",NA,"global"
"3_4_2_2_5","Manure_production_3","Manure production",NA,"global"
"3_4_2_2_5","other_3","Other (please, specify)",NA,"global"
"3_4_2_2_5","Honey_production_4","Honey production",NA,"global"
"3_4_2_2_5","other_4","Other (please specify)",NA,"global"
"3_4_2_2_5","Meat_production_5","Meat production",NA,"global"
"3_4_2_2_5","Dairy_production_5","Dairy production",NA,"global"
"3_4_2_2_5","Eggs_production_5","Eggs production",NA,"global"
"3_4_2_2_5","Fibre_production_5","Fibre production",NA,"global"
"3_4_2_2_5","Livestock_breeding_5","Livestock breeding production",NA,"global"
"3_4_2_2_5","Manure_production_5","Manure production",NA,"global"
"3_4_2_2_5","Transportation_5","Transportation",NA,"global"
"3_4_2_2_5","Honey_production_5","Honey production",NA,"global"
"3_4_2_2_5","Draft_power_5","Draft power",NA,"global"
"3_4_2_2_5","other_5","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Kilograms_1","Kilograms",NA,"global"
"3_4_2_2_6_1","Whole_animal_1","Livestock units",NA,"global"
"3_4_2_2_6_1","other_1","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Kilograms_2","Kilograms",NA,"global"
"3_4_2_2_6_1","Liters_2","Liters",NA,"global"
"3_4_2_2_6_1","other_2","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Eggs_3","Dozen (group of twelve eggs)",NA,"global"
"3_4_2_2_6_1","other_3","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Kilograms_4","Kilograms",NA,"global"
"3_4_2_2_6_1","other_4","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Whole_animal_5","Livestock units",NA,"global"
"3_4_2_2_6_1","other_5","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Kilograms_6","Kilograms",NA,"global"
"3_4_2_2_6_1","other_6","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Hours_7","Hours",NA,"global"
"3_4_2_2_6_1","other_7","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Kilograms_8","Kilograms",NA,"global"
"3_4_2_2_6_1","Liters_8","Liters",NA,"global"
"3_4_2_2_6_1","other_8","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Hours_9","Hours",NA,"global"
"3_4_2_2_6_1","other_9","Other (please specify)",NA,"global"
"3_4_2_2_6_1","Eggs_10","Dozen (group of twelve eggs)",NA,"global"
"3_4_2_2_6_1","Hours_10","Hours",NA,"global"
"3_4_2_2_6_1","Kilograms_10","Kilograms",NA,"global"
"3_4_2_2_6_1","Liters_10","Liters",NA,"global"
"3_4_2_2_6_1","Whole_animal_10","Livestock units",NA,"global"
"3_4_2_2_6_1","other_10","Other (please specify)",NA,"global"
"3_4_2_2_6_3","human_consumption_1","Human consumption (on-farm)",NA,"global"
"3_4_2_2_6_3","consumer_1","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_1","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_1","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_1","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_1","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_1","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_1","Other (please specify)",NA,"global"
"3_4_2_2_6_3","on-farm_2","On-farm use",NA,"global"
"3_4_2_2_6_3","consumer_2","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_2","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_2","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_2","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_2","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_2","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_2","Other (please specify)",NA,"global"
"3_4_2_2_6_3","human_consumption_3","Human consumption (on-farm)",NA,"global"
"3_4_2_2_6_3","on-farm_3","On-farm use",NA,"global"
"3_4_2_2_6_3","consumer_3","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_3","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_3","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_3","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_3","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_3","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_3","Other (please specify)",NA,"global"
"3_4_2_2_6_3","human_consumption_4","Human consumption (on-farm)",NA,"global"
"3_4_2_2_6_3","consumer_4","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_4","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_4","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_4","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_4","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_4","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_4","Other (please specify)",NA,"global"
"3_4_2_2_6_3","human_consumption_5","Human consumption (on-farm)",NA,"global"
"3_4_2_2_6_3","consumer_5","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_5","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_5","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_5","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_5","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_5","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_5","Other (please specify)",NA,"global"
"3_4_2_2_6_3","on-farm_6","On-farm use",NA,"global"
"3_4_2_2_6_3","consumer_6","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_6","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_6","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_6","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_6","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_6","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_6","Other (please specify)",NA,"global"
"3_4_2_2_6_3","on-farm_7","On-farm use",NA,"global"
"3_4_2_2_6_3","consumer_7","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_7","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_7","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_7","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_7","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_7","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_7","Other (please specify)",NA,"global"
"3_4_2_2_6_3","on-farm_8","On-farm use",NA,"global"
"3_4_2_2_6_3","consumer_8","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_8","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_8","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_8","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_8","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_8","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_8","Other (please specify)",NA,"global"
"3_4_2_2_6_3","human_consumption_9","Human consumption (on-farm)",NA,"global"
"3_4_2_2_6_3","consumer_9","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_9","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_9","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_9","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_9","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_9","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_9","Other (please specify)",NA,"global"
"3_4_2_2_6_3","on-farm_10","On-farm use",NA,"global"
"3_4_2_2_6_3","consumer_10","Sold on-farm direct to consumer",NA,"global"
"3_4_2_2_6_3","cooperative_10","Sold to a cooperative",NA,"global"
"3_4_2_2_6_3","market_place_10","Sold in the market place",NA,"global"
"3_4_2_2_6_3","trader_supermarket_10","Sold to a trader or supermarket",NA,"global"
"3_4_2_2_6_3","gifts_10","Gifts",NA,"global"
"3_4_2_2_6_3","waste/losses_10","Wasted/lost",NA,"global"
"3_4_2_2_6_3","other_10","Other (please specify)",NA,"global"
"3_4_2_2_8","0","None",NA,"global"
"3_4_2_2_8","1","Low",NA,"global"
"3_4_2_2_8","2","Medium",NA,"global"
"3_4_2_2_8","3","High",NA,"global"
"3_4_2_3_1","Wetland","Wetland",NA,"global"
"3_4_2_3_1","Paddy","Paddy field",NA,"global"
"3_4_2_3_1","other","Other (please specify)",NA,"global"
"3_4_2_3_2_1","f1","${f1}",NA,"global"
"3_4_2_3_2_1","f2","${f2}",NA,"global"
"3_4_2_3_2_1","f3","${f3}",NA,"global"
"3_4_2_3_2_1","f4","${f4}",NA,"global"
"3_4_2_3_2_1","f5","${f5}",NA,"global"
"3_4_2_3_2_1","f6","${f6}",NA,"global"
"3_4_2_3_2_1","f7","${f7}",NA,"global"
"3_4_2_3_2_1","f8","${f8}",NA,"global"
"3_4_2_3_2_1","f9","${f9}",NA,"global"
"3_4_2_3_2_1","f10","${f10}",NA,"global"
"3_4_2_3_2_3","Meat_production","Meat production",NA,"global"
"3_4_2_3_2_3","Breeding_production","Breeding production",NA,"global"
"3_4_2_3_2_3","Ornamental","Ornamental production",NA,"global"
"3_4_2_3_2_3","other","Other (please specify)",NA,"global"
"3_4_2_3_2_4_1","Kilograms_1","Kilograms",NA,"global"
"3_4_2_3_2_4_1","Whole_animal_1","Fish units",NA,"global"
"3_4_2_3_2_4_1","other_1","Other (please specify)",NA,"global"
"3_4_2_3_2_4_1","Whole_animal_2","Fish units",NA,"global"
"3_4_2_3_2_4_1","other_2","Other (please specify)",NA,"global"
"3_4_2_3_2_4_1","Whole_animal_3","Fish units",NA,"global"
"3_4_2_3_2_4_1","other_3","Other (please specify)",NA,"global"
"3_4_2_3_2_4_1","Kilograms_4","Kilograms",NA,"global"
"3_4_2_3_2_4_1","Whole_animal_4","Fish units",NA,"global"
"3_4_2_3_2_4_1","other_4","Other (please specify)",NA,"global"
"3_4_2_3_2_6","human_consumption_1","Human consumption (on-farm)",NA,"global"
"3_4_2_3_2_6","livestock_consumption_1","Own livestock consumption",NA,"global"
"3_4_2_3_2_6","consumer_1","Sold on-farm direct to consumer",NA,"global"
"3_4_2_3_2_6","cooperative_1","Sold to a cooperative",NA,"global"
"3_4_2_3_2_6","market_place_1","Sold in the market place",NA,"global"
"3_4_2_3_2_6","trader_supermarket_1","Sold to a trader or supermarket",NA,"global"
"3_4_2_3_2_6","gifts_1","Gifts",NA,"global"
"3_4_2_3_2_6","waste/losses_1","Wasted/lost",NA,"global"
"3_4_2_3_2_6","other_1","Other (please specify)",NA,"global"
"3_4_2_3_2_6","on-farm_2","On-farm use",NA,"global"
"3_4_2_3_2_6","consumer_2","Sold on-farm direct to consumer",NA,"global"
"3_4_2_3_2_6","cooperative_2","Sold to a cooperative",NA,"global"
"3_4_2_3_2_6","market_place_2","Sold in the market place",NA,"global"
"3_4_2_3_2_6","trader_supermarket_2","Sold to a trader or supermarket",NA,"global"
"3_4_2_3_2_6","gifts_2","Gifts",NA,"global"
"3_4_2_3_2_6","waste/losses_2","Wasted/lost",NA,"global"
"3_4_2_3_2_6","other_2","Other (please specify)",NA,"global"
"3_4_2_3_2_6","human_consumption_3","Human consumption (on-farm)",NA,"global"
"3_4_2_3_2_6","on-farm_3","On-farm use",NA,"global"
"3_4_2_3_2_6","livestock_consumption_3","Own livestock consumption",NA,"global"
"3_4_2_3_2_6","consumer_3","Sold on-farm direct to consumer",NA,"global"
"3_4_2_3_2_6","cooperative_3","Sold to a cooperative",NA,"global"
"3_4_2_3_2_6","market_place_3","Sold in the market place",NA,"global"
"3_4_2_3_2_6","trader_supermarket_3","Sold to a trader or supermarket",NA,"global"
"3_4_2_3_2_6","gifts_3","Gifts",NA,"global"
"3_4_2_3_2_6","waste/losses_3","Wasted/lost",NA,"global"
"3_4_2_3_2_6","other_3","Other (please specify)",NA,"global"
"3_4_2_3_2_6","on-farm_4","On-farm use",NA,"global"
"3_4_2_3_2_6","consumer_4","Sold on-farm direct to consumer",NA,"global"
"3_4_2_3_2_6","cooperative_4","Sold to a cooperative",NA,"global"
"3_4_2_3_2_6","market_place_4","Sold in the market place",NA,"global"
"3_4_2_3_2_6","trader_supermarket_4","Sold to a trader or supermarket",NA,"global"
"3_4_2_3_2_6","gifts_4","Gifts",NA,"global"
"3_4_2_3_2_6","waste/losses_4","Wasted/lost",NA,"global"
"3_4_2_3_2_6","other_4","Other (please specify)",NA,"global"
"3_4_2_3_3","1","Low",NA,"global"
"3_4_2_3_3","2","Medium",NA,"global"
"3_4_2_3_3","3","High",NA,"global"
"3_4_3_3_1","Cattle","Cattle",NA,"global"
"3_4_3_3_1","Sheep","Sheep",NA,"global"
"3_4_3_3_1","Goats","Goats",NA,"global"
"3_4_3_3_1","Horses","Horses",NA,"global"
"3_4_3_3_1","Donkeys","Donkeys",NA,"global"
"3_4_3_3_1","Mules","Mules",NA,"global"
"3_4_3_3_1","Camels","Camels",NA,"global"
"3_4_3_3_1","Chickens","Chickens",NA,"global"
"3_4_3_3_1","Ducks","Ducks",NA,"global"
"3_4_3_3_1","Beehives","Beehives",NA,"global"
"3_4_3_3_1","other","Other (please specify)",NA,"global"
"3_4_4_1","1","Only exotic breeds are kept.",NA,"global"
"3_4_4_1","2","75% are exotic breeds and 25% are local breeds.",NA,"global"
"3_4_4_1","3","Equal numbers of exotic breeds and local breeds are kept",NA,"global"
"3_4_4_1","4","25% are exotic breeds and 75% are local breeds.",NA,"global"
"3_4_4_1","5","Only local breeds are kept.",NA,"global"
"3_4_4_1","6","No exotic or local breeds are kept.",NA,"global"
"3_4_4_1","7","I don't know.",NA,"global"
"3_4_4_2","1","All the time","5","global"
"3_4_4_2","2","Often","4","global"
"3_4_4_2","3","Sometimes","3","global"
"3_4_4_2","4","Rarely","2","global"
"3_4_4_2","5","Never","1","global"
"3_4_4_3","1","Yes",NA,"global"
"3_4_4_3","0","No",NA,"global"
"3_4_4_4","1","Yes",NA,"global"
"3_4_4_4","0","No",NA,"global"
"4_1_1_1","3","Can read and write",NA,"global"
"4_1_1_1","2","Can read only",NA,"global"
